isbn,id,authors,timestamp,publisher,title,cover,series,tags,languages
"","103","И-Шен","2014-09-09T15:59:39+03:00","","Йога для начинающих","T:\ports\PortableApps\Calibre Portable\Calibre Library\I-Shien\Iogha dlia nachinaiushchikh (103)\cover.jpg","Целительные практики Востока","home_health","rus"
"","104","Адольф Гитлер","2014-09-10T13:04:45+03:00","Т-Око","Моя борьба","T:\ports\PortableApps\Calibre Portable\Calibre Library\Adol'f Gitlier\Moia bor'ba (104)\cover.jpg","","nonf_biography","rus"
"978-5-699-24885-8","105","Дэн Симмонс","2014-09-11T01:24:03+03:00","Эксмо, Домино","Террор","T:\ports\PortableApps\Calibre Portable\Calibre Library\Den Simmons\Tierror (105)\cover.jpg","Книга-загадка, книга-бестселлер","adv_maritime, thriller","rus"
"5-9709-0105-9","106","Кем Нанн","2014-09-15T16:45:51+03:00","У-Фактория","Оседлай волну","T:\ports\PortableApps\Calibre Portable\Calibre Library\Kiem Nann\Osiedlai volnu (106)\cover.jpg","Нуар","det_hard","rus"
"5-9709-0066-4","107","Джейсон Старр","2014-09-15T16:45:52+03:00","У-Фактория","Паранойя","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieison Starr\Paranoiia (107)\cover.jpg","Нуар","det_hard","rus"
"","108","Чарльз Хигсон","2014-09-15T16:45:52+03:00","У-Фактория","Полный улет","T:\ports\PortableApps\Calibre Portable\Calibre Library\Charl'z Khighson\Polnyi uliet (108)\cover.jpg","Нуар","det_hard","rus"
"5-9709-0162-8","109","Уильям Хьёртсберг","2014-09-15T16:45:53+03:00","У-Фактория","Сердце Ангела","T:\ports\PortableApps\Calibre Portable\Calibre Library\Uil'iam Kh'iortsbiergh\Sierdtsie Anghiela (109)\cover.jpg","Нуар","det_hard, sf_horror","rus"
"","110","Льюис Тед","2014-09-15T16:45:53+03:00","У-Фактория","Убрать Картера","T:\ports\PortableApps\Calibre Portable\Calibre Library\L'iuis Tied\Ubrat' Kartiera (110)\cover.jpg","Нуар","det_crime","rus"
"5-94799-313-9","111","Дэвид Хаггинз","2014-09-15T16:45:54+03:00","У-Фактория","Чмоки","T:\ports\PortableApps\Calibre Portable\Calibre Library\Devid Khaghghinz\Chmoki (111)\cover.jpg","Нуар","det_hard","rus"
"5-94799-334-1","112","Лайонел Уайт","2014-09-15T16:45:54+03:00","У-Фактория","Большой куш","T:\ports\PortableApps\Calibre Portable\Calibre Library\Laioniel Uait\Bol'shoi kush (112)\cover.jpg","Нуар","thriller","rus"
"5-9709-0154-7","113","Деннис Лихэйн","2014-09-15T16:45:54+03:00","У-Фактория","Дай мне руку, тьма","T:\ports\PortableApps\Calibre Portable\Calibre Library\Diennis Likhein\Dai mnie ruku, t'ma (113)\cover.jpg","Патрик Кензи","thriller","rus"
"5-94799-277-9","114","Барри Гиффорд","2014-09-15T16:45:55+03:00","У-Фактория","Дикие сердцем","T:\ports\PortableApps\Calibre Portable\Calibre Library\Barri Gifford\Dikiie sierdtsiem (114)\cover.jpg","Нуар","det_hard","rus"
"5-94799-274-4","115","Эдвард Банкер","2014-09-15T16:45:55+03:00","У-Фактория","И пожрет пес пса…","T:\ports\PortableApps\Calibre Portable\Calibre Library\Edvard Bankier\I pozhriet pies psa__ (115)\cover.jpg","Нуар","det_hard","rus"
"5-94799-314-7","116","Джералд Керш","2014-09-15T16:45:56+03:00","Б.С.Г.-Пресс, У-Фактория","Ночь и город","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhierald Kiersh\Noch' i ghorod (116)\cover.jpg","Нуар","thriller","rus"
